hash	dist	omega	phi1	phi2	psi1	psi2	ids	idcount	id_unique
6605693256194	6	2	2	0	2	2	2:1,0:1,1:1	3	3
10995116278019	10	0	0	0	1	3	1:1,2:1,0:1	3	3
7696615014659	7	0	2	1	1	3	0:1,2:2	3	2
9904194716165	9	2	0	2	2	5	0:1	1	1
9904194585602	9	2	0	0	4	2	2:3	3	1
7696581460482	7	0	0	1	2	2	1:1,2:1,3:3	5	3
11003723120898	10	2	1	2	1	2	1:2,0:1,2:1	4	3
5497574981890	5	0	1	1	1	2	3:1	1	1
9895638204672	9	0	2	0	1	0	1:1,0:1,2:1,3:1	4	4
6597069898499	6	0	0	2	3	3	1:1,0:1,2:2,3:2	6	4
6597103453185	6	0	2	2	4	1	2:2,3:1	3	2
10995149898241	10	0	2	1	2	1	1:1	1	1
7696615080960	7	0	2	2	4	0	1:1	1	1
5501853238020	5	1	0	2	3	4	0:1	1	1
7700909917188	7	1	2	0	4	4	1:1	1	1
9895621559041	9	0	1	2	3	1	2:1	1	1
3307158503939	3	2	2	2	2	3	0:4,3:10,2:13,1:5	32	4
6597069832452	6	0	0	1	1	4	1:2,0:1,2:2	5	3
4398063288322	4	0	1	0	0	2	1:1	1	1
11003706278401	10	2	0	1	2	1	2:1	1	1
7705204883970	7	2	2	0	2	2	1:1,0:1	2	2
9899933237761	9	1	2	1	2	1	3:1	1	1
10995116278272	10	0	0	0	2	0	1:2,0:1	3	2
3298534949892	3	0	0	1	4	4	1:2,3:1	3	2
9895638336257	9	0	2	2	3	1	1:1	1	1
5506181628674	5	2	2	0	3	2	0:3,1:1,2:2	6	3
8804683023104	8	2	0	1	3	0	0:1,1:1	2	2
7696614949890	7	0	2	0	4	2	1:1,3:1	2	2
6605676478979	6	2	1	0	2	3	3:1	1	1
7696581394944	7	0	0	0	2	0	1:1,3:3,0:1,2:1	6	4
10995149963268	10	0	2	2	0	4	2:1	1	1
10995149963777	10	0	2	2	2	1	2:2,0:1	3	2
7696614948866	7	0	2	0	0	2	2:2,3:1	3	2
4406636577538	4	2	0	2	3	2	1:1,0:2,2:2	5	3
5497558204932	5	0	0	1	2	4	3:2,0:1	3	2
7696614949124	7	0	2	0	1	4	3:1,0:1,2:1	3	3
3307158373635	3	2	2	0	5	3	0:1	1	1
8796109931009	8	0	1	2	2	1	0:1,2:1,3:1	3	3
8804716511747	8	2	2	0	2	3	2:1,3:2,1:3,0:1	7	4
