hash	edge1	edge2	edge3	ids	idcount	id_unique
4808718503209074688	94	5	1	1	1
4810970303033245696	98	12	1,1	2	1
13916122851828563968	-10	-30	0,2,2	3	2
3249537024	0	-22	0,1	2	2
4794644754388221952	69	16	0,2,2,3,3,3,3,3	8	3
4814910952704049152	105	9	1	1	1
4803089003690065920	84	17	0,0,1,1,1,2,2,2,2,3,3	11	4
4656722017952202752	5	-25	0,0,2,2,2,3	6	3
4801963103777456128	82	11	0,0,1,2	4	3
4818288652415139840	111	4	1,1	2	1
4759178909455482880	35	-5	1	1	1
4817162752527695872	109	21	1,2,2	3	2
4778319205726420992	52	6	2,3	2	2
4818288652433489920	111	19	1	1	1
4817725702479020032	110	17	1,1,2	3	2
4719772412734865408	16	-24	0,1,2,2,2,2,3,3	8	4
13982550946337521664	-35	-48	1,2	2	2
13916122851832758272	-10	-44	2,3	2	2
13835058058537467904	-2	-34	1,1,1,2,2,2,3,3	8	3
4611686021678497792	2	-25	0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3	34	4
4802526053729828864	83	10	1	1	1
4798022454111371264	75	21	1,2	2	2
13976921446804881408	-31	-54	1	1	1
4740038611052789760	25	-15	3	1	1
4825607001805422592	124	3	1	1	1
4656722017939095552	5	-8	3	1	1
4726527812166483968	19	-11	1,1	2	1
4715268813094912000	15	-8	1	1	1
13961158848104628224	-24	-37	0	1	1
4683743615712231424	8	-17	0,0,1,1,2,2,2,3,3,3	10	4
4825044051876118528	123	22	1	1	1
4575657224668446720	1	-52	1	1	1
4811533252998725632	99	31	2	1	1
4822229302105866240	118	16	1	1	1
4731031411803815936	21	-25	1	1	1
4795207704340594688	70	15	0,1,2,2	4	3
4824481101926891520	122	30	0	1	1
4722024212547502080	17	-22	0,0,1,1,2,2,3	7	4
4796896554200858624	73	15	0,0,1,2,2,2,3,3,3,3	10	4
13920626451461963776	-11	-51	1	1	1
13956655248479879168	-22	-47	1,1,2,2,2	5	2
4647714818694840320	4	-20	0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3	16	4
13898108453324849152	-7	-50	1	1	1
4819977502296375296	114	24	1,2	2	2
4794644754379833344	69	8	2,3	2	2
13911619252200669184	-9	-29	1,2,2,3	4	3
4735535011419127808	23	-9	0,0,0,1,1,1,1,2,2,3,3,3,3,3,3	15	4
4771563806285365248	46	6	1,1,2,2,3	5	3
4801963103765921792	82	4	1	1	1
4817162752532414464	109	30	1,2	2	2
13799029261506445312	-1	-13	2	1	1
4674736416464830464	7	-31	1	1	1
13952151648858013696	-20	-72	1	1	1
4843339925373845504	183	56	0	1	1
13967914247543848960	-27	-31	2	1	1
4802526053731926016	83	12	0,1,1,1,2,2,2,2,3,3,3,3	12	4
4789578203708522496	62	0	1	1	1
13911619252205649920	-9	-45	2	1	1
4786200505083756544	59	13	3	1	1
4831236501370306560	140	37	0,1,2,3	4	4
4800837203867467776	80	8	1	1	1
13952151648856178688	-20	-61	1,1	2	1
4767060206649606144	42	3	0,2	2	2
13970166047361728512	-28	-46	1	1	1
4706261613851705344	13	-22	0,1,2,2,3	5	4
4697254414600634368	11	-29	1,1,2,2,2,3	6	3
13945396249415647232	-17	-63	1	1	1
13920626451458293760	-11	-37	0,1,1,1,1,2,2,2,2,3	10	4
4733283211607539712	22	-11	3	1	1
4803089003681153024	84	8	0	1	1
4683743615717998592	8	-28	0,1,3	3	3
4715268813095960576	15	-9	1,1,1,1,1,2,2,3	8	3
13898108453322752000	-7	-42	2	1	1
3256352768	0	-38	1	1	1
4719772412731195392	16	-17	0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3	22	4
13976921446805929984	-31	-58	1	1	1
4823355201995931648	120	4	1	1	1
4790704104715321344	63	18	3	1	1
4726527812173299712	19	-19	1,2	2	2
4795207704341643264	70	16	0,0,0,2,2,3	6	3
4726527812172775424	19	-18	0,1,3	3	3
13992684045503823872	-44	-68	1	1	1
13963410647921721344	-25	-50	1	1	1
13835058058533797888	-2	-26	0,0,0,0,0,0,1,1,2,2,3,3,3,3	14	4
4819977502298472448	114	28	0,1,2,2,3	5	4
13983676846247510016	-36	-60	1	1	1
4812659152898752512	101	18	1,1,2,2,3	5	3
13853072457047474176	-3	-36	0,2,2,2,3	5	3
4808155553264041984	93	10	1	1	1
